date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
20190101,7.0,0.5,19.0,6.4,7.8,4.8,0.0,103570.0,0.0
20190102,7.0,0.0,13.0,5.5,5.0,3.7,0.0,104310.0,0.0
20190103,8.0,0.0,13.0,4.6,4.9,4.3,0.0,104320.0,0.0
20190104,5.0,4.7,43.0,6.4,3.0,1.4,0.0,104230.0,0.0
20190105,8.0,0.0,13.0,10.0,4.0,1.6,0.0,103920.0,0.0
20190106,8.0,0.2,16.0,11.1,7.1,4.2,0.0,103680.0,0.0
20190107,8.0,0.0,13.0,9.3,8.6,6.0,0.0,103230.0,0.0
20190108,1.0,5.1,46.0,5.9,7.7,6.1,0.0,102810.0,0.0
20190109,3.0,3.1,37.0,7.3,3.9,1.9,0.0,102970.0,0.0
20190110,7.0,0.0,14.0,9.1,3.8,0.2,0.0,103060.0,0.0
20190111,7.0,0.2,17.0,11.0,5.3,1.6,0.0,103020.0,0.0
20190112,8.0,0.0,14.0,11.7,8.7,6.4,0.0,102320.0,0.0
20190113,8.0,0.1,16.0,9.8,10.2,8.6,0.0,101440.0,0.0
20190114,6.0,1.8,31.0,9.7,8.6,7.4,0.0,102030.0,0.0
20190115,6.0,0.1,17.0,9.9,5.5,1.4,0.2,101940.0,0.0
20190116,7.0,0.0,15.0,5.1,8.1,6.2,5.2,100590.0,0.0
20190117,4.0,6.1,56.0,7.1,3.6,2.1,0.0,101130.0,0.0
20190118,7.0,0.8,25.0,5.5,2.9,-1.4,0.0,101630.0,0.0
20190119,8.0,0.0,16.0,5.7,3.0,0.6,0.0,100980.0,0.0
20190120,2.0,5.7,56.0,6.4,2.1,-1.4,0.0,101790.0,0.0
20190121,7.0,0.3,21.0,6.6,2.1,-2.2,5.4,102120.0,0.0
20190122,5.0,4.0,48.0,3.4,3.8,1.0,4.8,100210.0,0.0
20190123,6.0,1.6,33.0,5.4,1.6,-0.1,0.2,100270.0,0.0
20190124,8.0,0.0,17.0,12.4,1.3,-2.8,1.0,101170.0,0.0
20190125,6.0,2.8,43.0,10.8,6.1,-0.2,0.0,101400.0,0.0
20190126,7.0,0.3,23.0,6.7,7.8,4.7,5.8,100250.0,0.0
20190127,6.0,1.9,38.0,6.0,5.2,3.7,1.0,99190.0,0.0
20190128,0.0,7.0,69.0,6.5,3.6,1.3,0.0,100590.0,0.0
