chunk,chunk,chunk,chunk,chunk,chunk,chunk,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error,reconstruction_error
key,chunk_index,start_index,end_index,start_date,end_date,period,value,sampling_error,upper_confidence_boundary,lower_confidence_boundary,upper_threshold,lower_threshold,alert
2019-01,0,0,30,2019-01-01,2019-01-31 23:59:59.999999999,analysis,1.302299301726988,0.09444505703482067,1.58563447283145,1.0189641306225259,1.5,,False
2019-02,1,31,58,2019-02-01,2019-02-28 23:59:59.999999999,analysis,1.1597825212563684,0.10249023749348013,1.4672532337368087,0.852311808775928,1.5,,False
2019-03,2,59,89,2019-03-01,2019-03-31 23:59:59.999999999,analysis,1.0295392912864962,0.07067717549256007,1.2415708177641764,0.817507764808816,1.5,,False
2019-04,3,90,119,2019-04-01,2019-04-30 23:59:59.999999999,analysis,1.1179808185654714,0.07271323116623177,1.3361205120641666,0.899841125066776,1.5,,False
2019-05,4,120,150,2019-05-01,2019-05-31 23:59:59.999999999,analysis,1.0170154939769718,0.0495031962611898,1.1655250827605412,0.8685059051934023,1.5,,False
2019-06,5,151,180,2019-06-01,2019-06-30 23:59:59.999999999,analysis,1.380620644240069,0.20432833101434192,1.9936056372830948,0.7676356511970432,1.5,,False
2019-07,6,181,211,2019-07-01,2019-07-31 23:59:59.999999999,analysis,1.2361430006478686,0.11594173792687583,1.5839682144284961,0.8883177868672412,1.5,,False
2019-08,7,212,242,2019-08-01,2019-08-31 23:59:59.999999999,analysis,0.9600333093693963,0.05715639110928225,1.131502482697243,0.7885641360415496,1.5,,False
2019-09,8,243,272,2019-09-01,2019-09-30 23:59:59.999999999,analysis,1.2232680987629891,0.09176886253513884,1.4985746863684057,0.9479615111575725,1.5,,False
2019-10,9,273,303,2019-10-01,2019-10-31 23:59:59.999999999,analysis,0.989411570501317,0.07855466176764882,1.2250755558042634,0.7537475851983706,1.5,,False
2019-11,10,304,333,2019-11-01,2019-11-30 23:59:59.999999999,analysis,1.4584310018721525,0.10804498595598257,1.7825659597401002,1.1342960440042047,1.5,,False
2019-12,11,334,364,2019-12-01,2019-12-31 23:59:59.999999999,analysis,1.3984187686572607,0.09920660332441739,1.6960385786305128,1.1007989586840086,1.5,,False
2020-01,12,365,395,2020-01-01,2020-01-31 23:59:59.999999999,analysis,1.2270633157248247,0.09795135092376682,1.5209173684961252,0.9332092629535242,1.5,,False
2020-02,13,396,424,2020-02-01,2020-02-29 23:59:59.999999999,analysis,1.1536306143169888,0.1022965075858808,1.460520137074631,0.8467410915593464,1.5,,False
2020-03,14,425,455,2020-03-01,2020-03-31 23:59:59.999999999,analysis,1.3132870763687003,0.07974249174243041,1.5525145515959915,1.0740596011414092,1.5,,False
2020-04,15,456,485,2020-04-01,2020-04-30 23:59:59.999999999,analysis,1.286538641267218,0.10759930698142457,1.6093365622114917,0.9637407203229442,1.5,,False
2020-05,16,486,516,2020-05-01,2020-05-31 23:59:59.999999999,analysis,1.53039934155276,0.11147938500356928,1.8648374965634678,1.195961186542052,1.5,,True
2020-06,17,517,546,2020-06-01,2020-06-30 23:59:59.999999999,analysis,1.1858476613122493,0.09406030288006396,1.4680285699524411,0.9036667526720574,1.5,,False
2020-07,18,547,577,2020-07-01,2020-07-31 23:59:59.999999999,analysis,1.386873437035711,0.07175221531295999,1.602130082974591,1.171616791096831,1.5,,False
2020-08,19,578,608,2020-08-01,2020-08-31 23:59:59.999999999,analysis,1.226552306867671,0.09905457661033239,1.523716036698668,0.9293885770366738,1.5,,False
2020-09,20,609,638,2020-09-01,2020-09-30 23:59:59.999999999,analysis,1.0398064635391748,0.053612909472793395,1.200645191957555,0.8789677351207946,1.5,,False
2020-10,21,639,669,2020-10-01,2020-10-31 23:59:59.999999999,analysis,1.3925280411558465,0.1783419140929519,1.927553783434702,0.8575022988769908,1.5,,False
2020-11,22,670,699,2020-11-01,2020-11-30 23:59:59.999999999,analysis,1.1275666235263049,0.08520757722072547,1.3831893551884813,0.8719438918641285,1.5,,False
2020-12,23,700,730,2020-12-01,2020-12-31 23:59:59.999999999,analysis,1.757501603903598,0.14527290084788977,2.1933203064472675,1.3216829013599287,1.5,,True
